Tamaño	Time	Avr. OB	Min OB	Max OB
5800	5.513621E-06	12	1	13
5825	5.516052E-06	12	1	13
5850	5.494359E-06	12	1	13
5875	5.491404E-06	12	1	13
5900	5.506610E-06	12	1	13
5925	5.530970E-06	12	1	13
5950	5.483697E-06	12	1	13
5975	5.505774E-06	12	1	13
6000	5.502167E-06	12	1	13
6025	5.471701E-06	12	1	13
6050	5.548595E-06	12	1	13
6075	5.507325E-06	12	1	13
6100	5.535410E-06	12	1	13
6125	5.502694E-06	12	1	13
6150	5.486504E-06	12	1	13
6175	5.542024E-06	12	1	13
6200	5.565968E-06	12	1	13
6225	5.945221E-06	12	1	13
6250	5.560800E-06	12	1	13
6275	5.495458E-06	12	1	13
6300	5.513968E-06	12	1	13
6325	5.494071E-06	12	1	13
6350	5.507402E-06	12	1	13
6375	5.497098E-06	12	1	13
6400	5.585000E-06	12	1	13
6425	5.515331E-06	12	1	13
6450	5.513643E-06	12	1	13
6475	5.502703E-06	12	1	13
6500	5.526923E-06	12	1	13
6525	5.517548E-06	12	1	13
6550	5.509160E-06	12	1	13
6575	5.601673E-06	12	1	13
6600	5.517121E-06	12	1	13
6625	5.537057E-06	12	1	13
6650	5.725564E-06	12	1	13
6675	5.609888E-06	12	1	13
6700	5.522687E-06	12	1	13
6725	5.569517E-06	12	1	13
6750	5.545630E-06	12	1	13
6775	5.603100E-06	12	1	13
6800	5.542059E-06	12	1	13
6825	5.593700E-06	12	1	13
6850	5.598540E-06	12	1	13
6875	5.570473E-06	12	1	13
6900	5.586957E-06	12	1	13
6925	5.547726E-06	12	1	13
6950	5.603597E-06	12	1	13
6975	5.574910E-06	12	1	13
7000	5.578714E-06	12	1	13
7025	5.624769E-06	12	1	13
7050	5.548936E-06	12	1	13
7075	5.550671E-06	12	1	13
7100	5.726338E-06	12	1	13
7125	5.563649E-06	12	1	13
7150	5.568951E-06	12	1	13
7175	5.581603E-06	12	1	13
7200	5.581111E-06	12	1	13
7225	5.682076E-06	12	1	13
7250	5.565655E-06	12	1	13
7275	5.614296E-06	12	1	13
7300	5.563151E-06	12	1	13
7325	5.571331E-06	12	1	13
7350	5.557415E-06	12	1	13
7375	5.597017E-06	12	1	13
7400	5.584324E-06	12	1	13
7425	5.628148E-06	12	1	13
7450	5.957852E-06	12	1	13
7475	5.561873E-06	12	1	13
7500	5.626133E-06	12	1	13
7525	5.614086E-06	12	1	13
7550	5.662517E-06	12	1	13
7575	5.567525E-06	12	1	13
7600	5.595000E-06	12	1	13
7625	5.607869E-06	12	1	13
7650	5.606797E-06	12	1	13
7675	5.597003E-06	12	1	13
7700	5.604156E-06	12	1	13
7725	5.604790E-06	12	1	13
7750	5.610968E-06	12	1	13
7775	5.607074E-06	12	1	13
7800	5.606923E-06	12	1	13
7825	5.611629E-06	12	1	13
7850	5.599618E-06	12	1	13
7875	5.593905E-06	12	1	13
7900	5.758228E-06	12	1	13
7925	5.598612E-06	12	1	13
7950	5.668679E-06	12	1	13
7975	5.655925E-06	12	1	13
8000	5.619000E-06	12	1	13
8025	5.624174E-06	12	1	13
8050	5.658012E-06	12	1	13
8075	5.608050E-06	12	1	13
8100	5.619012E-06	12	1	13
8125	5.940800E-06	12	1	13
8150	5.599018E-06	12	1	13
8175	5.615291E-06	12	1	13
8200	5.640244E-06	12	1	14
8225	5.693982E-06	12	1	14
8250	5.606182E-06	12	1	14
8275	5.623202E-06	12	1	14
8300	5.629518E-06	12	1	14
8325	5.623784E-06	12	1	14
8350	5.643952E-06	12	1	14
8375	5.864000E-06	12	1	14
8400	5.619762E-06	12	1	14
8425	5.628843E-06	12	1	14
8450	5.642012E-06	12	1	14
8475	5.640472E-06	12	1	14
8500	5.632000E-06	12	1	14
8525	5.702757E-06	12	1	14
8550	5.639532E-06	12	1	14
8575	5.672536E-06	12	1	14
8600	5.649651E-06	12	1	14
8625	5.665971E-06	12	1	14
8650	5.658035E-06	12	1	14
8675	5.673199E-06	12	1	14
8700	5.691494E-06	12	1	14
8725	5.807106E-06	12	1	14
8750	5.676914E-06	12	1	14
8775	5.665641E-06	12	1	14
8800	5.651023E-06	12	1	14
8825	5.664703E-06	12	1	14
8850	5.675028E-06	12	1	14
8875	5.659718E-06	12	1	14
8900	5.680337E-06	12	1	14
8925	5.662185E-06	12	1	14
8950	5.677654E-06	12	1	14
8975	5.691253E-06	12	1	14
9000	5.728000E-06	12	1	14
9025	5.683657E-06	12	1	14
9050	5.719116E-06	12	1	14
9075	5.683085E-06	12	1	14
9100	5.695165E-06	12	1	14
9125	5.708932E-06	12	1	14
9150	5.686776E-06	12	1	14
9175	5.703978E-06	12	1	14
9200	5.693696E-06	12	1	14
9225	5.753930E-06	12	1	14
9250	5.709081E-06	12	1	14
9275	5.714717E-06	12	1	14
9300	5.720323E-06	12	1	14
9325	5.725362E-06	12	1	14
9350	5.714545E-06	12	1	14
9375	5.713600E-06	12	1	14
9400	5.701383E-06	12	1	14
9425	5.724456E-06	12	1	14
9450	5.763280E-06	12	1	14
9475	6.029235E-06	12	1	14
9500	5.696000E-06	12	1	14
9525	5.716325E-06	12	1	14
9550	5.733194E-06	12	1	14
9575	5.704439E-06	12	1	14
9600	5.731771E-06	12	1	14
9625	5.732156E-06	12	1	14
9650	5.763420E-06	12	1	14
9675	5.734160E-06	12	1	14
9700	5.745979E-06	12	1	14
9725	5.740463E-06	12	1	14
9750	5.727282E-06	12	1	14
9775	5.731049E-06	12	1	14
9800	5.776122E-06	12	1	14
9825	5.778830E-06	12	1	14
9850	5.847411E-06	12	1	14
9875	5.818937E-06	12	1	14
9900	5.777980E-06	12	1	14
9925	5.751134E-06	12	1	14
9950	5.762814E-06	12	1	14
9975	5.754486E-06	12	1	14
10000	5.738800E-06	12	1	14
